                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1312,                 1.4074,                  1.179,                0.56198,                0.41577,                 0.4414,                0.30355,                 1.2144,                 1.4126,                 1.2146,              0.0033329,              0.0033329,              0.0033329
                      2,                 1.2412,                 1.6751,                 1.2516,                0.54413,                0.40237,                0.42259,                0.28851,                 1.2382,                 1.4615,                 1.2418,              0.0066002,              0.0066002,              0.0066002
                      3,                 1.3295,                 1.9045,                 1.3162,                0.55025,                0.37522,                0.40067,                0.27016,                 1.2548,                 1.5151,                  1.269,              0.0098016,              0.0098016,              0.0098016
                      4,                 1.3435,                 1.9463,                  1.331,                0.54257,                0.39461,                0.41063,                0.27872,                 1.2411,                 1.4906,                 1.2622,               0.009703,               0.009703,               0.009703
                      5,                 1.3069,                 1.8467,                 1.3075,                0.57114,                0.39707,                0.42786,                0.29294,                 1.2187,                 1.4463,                 1.2465,               0.009604,               0.009604,               0.009604
                      6,                 1.2866,                 1.7928,                 1.2929,                0.57508,                0.40175,                0.43447,                0.29898,                 1.2095,                 1.4241,                 1.2386,               0.009505,               0.009505,               0.009505
                      7,                 1.2732,                 1.7575,                  1.284,                0.57028,                 0.4086,                0.44041,                0.30359,                 1.2038,                  1.411,                 1.2343,               0.009406,               0.009406,               0.009406
                      8,                 1.2641,                  1.734,                 1.2769,                0.57757,                0.40852,                 0.4434,                0.30612,                 1.1997,                 1.4042,                 1.2309,               0.009307,               0.009307,               0.009307
                      9,                 1.2572,                 1.7167,                  1.272,                0.57948,                0.40889,                0.44588,                 0.3081,                 1.1955,                 1.3986,                 1.2274,               0.009208,               0.009208,               0.009208
                     10,                   1.25,                 1.7003,                 1.2675,                0.58124,                0.41053,                0.44769,                0.30991,                 1.1931,                 1.3944,                 1.2254,               0.009109,               0.009109,               0.009109
                     11,                 1.2485,                 1.6944,                 1.2659,                0.57206,                0.41639,                0.44982,                0.31125,                 1.1906,                 1.3893,                 1.2235,                0.00901,                0.00901,                0.00901
                     12,                 1.2454,                 1.6847,                 1.2639,                0.56898,                0.41818,                0.45121,                0.31269,                 1.1873,                 1.3835,                 1.2206,               0.008911,               0.008911,               0.008911
                     13,                 1.2414,                 1.6744,                 1.2609,                0.56958,                0.42261,                0.45329,                0.31445,                 1.1846,                 1.3779,                 1.2182,               0.008812,               0.008812,               0.008812
                     14,                  1.237,                 1.6697,                 1.2595,                0.57488,                0.42417,                0.45504,                0.31602,                 1.1814,                 1.3717,                 1.2161,               0.008713,               0.008713,               0.008713
                     15,                 1.2372,                  1.666,                 1.2579,                0.57813,                0.42537,                0.45663,                0.31764,                 1.1791,                 1.3649,                  1.214,               0.008614,               0.008614,               0.008614
                     16,                 1.2358,                 1.6584,                 1.2564,                0.57949,                0.42608,                0.45827,                0.31879,                  1.177,                 1.3596,                 1.2121,               0.008515,               0.008515,               0.008515
                     17,                 1.2337,                  1.655,                  1.254,                0.57871,                0.42783,                0.46006,                0.31981,                 1.1752,                 1.3544,                 1.2105,               0.008416,               0.008416,               0.008416
                     18,                 1.2303,                 1.6521,                  1.253,                0.58441,                0.42832,                0.46109,                0.32092,                 1.1739,                 1.3492,                 1.2092,               0.008317,               0.008317,               0.008317
                     19,                   1.23,                 1.6517,                 1.2526,                0.58267,                0.42816,                0.46243,                0.32202,                 1.1725,                  1.345,                 1.2078,               0.008218,               0.008218,               0.008218
                     20,                 1.2264,                 1.6395,                 1.2507,                 0.5816,                0.43144,                 0.4641,                0.32324,                 1.1723,                  1.341,                 1.2072,               0.008119,               0.008119,               0.008119
                     21,                 1.2279,                 1.6404,                 1.2508,                0.57584,                0.43532,                0.46517,                0.32415,                 1.1713,                 1.3366,                 1.2061,                0.00802,                0.00802,                0.00802
                     22,                 1.2261,                 1.6363,                 1.2502,                0.57924,                0.43423,                0.46632,                0.32503,                 1.1708,                 1.3328,                 1.2054,               0.007921,               0.007921,               0.007921
                     23,                 1.2263,                 1.6357,                 1.2493,                0.57508,                0.43617,                0.46753,                0.32574,                 1.1694,                 1.3298,                 1.2039,               0.007822,               0.007822,               0.007822
                     24,                 1.2246,                 1.6293,                  1.247,                0.57497,                0.43816,                0.46849,                0.32637,                 1.1686,                 1.3273,                 1.2026,               0.007723,               0.007723,               0.007723
                     25,                  1.222,                 1.6279,                 1.2463,                0.57652,                0.43866,                0.46936,                0.32725,                 1.1679,                 1.3241,                 1.2017,               0.007624,               0.007624,               0.007624
                     26,                 1.2204,                 1.6235,                 1.2459,                0.57894,                0.43908,                0.47046,                0.32839,                 1.1668,                 1.3221,                 1.2008,               0.007525,               0.007525,               0.007525
                     27,                 1.2216,                 1.6239,                 1.2459,                0.58333,                0.43967,                0.47142,                0.32906,                 1.1664,                 1.3202,                 1.2006,               0.007426,               0.007426,               0.007426
                     28,                 1.2203,                 1.6193,                 1.2441,                0.59282,                0.43395,                0.47128,                0.32923,                 1.1656,                 1.3182,                 1.1994,               0.007327,               0.007327,               0.007327
                     29,                 1.2179,                 1.6137,                 1.2425,                0.60002,                0.43167,                0.47228,                0.32968,                 1.1653,                 1.3161,                  1.199,               0.007228,               0.007228,               0.007228
                     30,                 1.2184,                 1.6166,                 1.2429,                0.59042,                0.43575,                0.47293,                0.33037,                 1.1647,                 1.3146,                 1.1982,               0.007129,               0.007129,               0.007129
                     31,                 1.2156,                 1.6103,                 1.2419,                0.59269,                0.43488,                0.47365,                0.33108,                 1.1637,                 1.3134,                 1.1972,                0.00703,                0.00703,                0.00703
                     32,                  1.216,                 1.6095,                 1.2415,                0.59583,                0.43335,                0.47376,                0.33106,                 1.1635,                 1.3121,                 1.1969,               0.006931,               0.006931,               0.006931
                     33,                 1.2138,                 1.6041,                  1.241,                0.59467,                0.43422,                0.47402,                0.33112,                 1.1623,                 1.3105,                 1.1959,               0.006832,               0.006832,               0.006832
                     34,                 1.2124,                 1.6031,                 1.2396,                0.59404,                0.43513,                 0.4751,                0.33168,                 1.1621,                 1.3091,                 1.1957,               0.006733,               0.006733,               0.006733
                     35,                 1.2098,                 1.5976,                 1.2393,                0.59111,                0.43978,                0.47524,                0.33199,                 1.1616,                 1.3083,                 1.1954,               0.006634,               0.006634,               0.006634
                     36,                 1.2118,                 1.5991,                 1.2391,                0.59115,                0.43947,                 0.4755,                 0.3324,                 1.1616,                 1.3075,                 1.1952,               0.006535,               0.006535,               0.006535
                     37,                 1.2092,                 1.5924,                 1.2371,                0.58828,                 0.4392,                0.47523,                0.33279,                  1.161,                 1.3065,                 1.1949,               0.006436,               0.006436,               0.006436
                     38,                 1.2078,                 1.5907,                 1.2366,                0.58445,                0.44044,                0.47595,                 0.3332,                 1.1603,                 1.3052,                 1.1945,               0.006337,               0.006337,               0.006337
                     39,                 1.2077,                 1.5872,                 1.2355,                0.58972,                0.43884,                0.47668,                0.33364,                 1.1598,                 1.3039,                 1.1941,               0.006238,               0.006238,               0.006238
                     40,                 1.2064,                 1.5845,                 1.2345,                0.58485,                0.44183,                0.47709,                0.33396,                 1.1598,                 1.3029,                 1.1939,               0.006139,               0.006139,               0.006139
                     41,                 1.2056,                 1.5811,                 1.2329,                0.58164,                0.44472,                0.47788,                0.33459,                 1.1594,                 1.3017,                 1.1933,                0.00604,                0.00604,                0.00604
                     42,                 1.2032,                   1.58,                 1.2325,                 0.5946,                0.43912,                0.47844,                0.33509,                 1.1591,                 1.3004,                 1.1926,               0.005941,               0.005941,               0.005941
