                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.121,                 1.3858,                 1.1716,                0.53088,                 0.4043,                0.41425,                0.28155,                 1.2409,                 1.4804,                 1.2256,              0.0033319,              0.0033319,              0.0033319
                      2,                 1.2296,                 1.6487,                 1.2393,                0.47164,                0.31957,                0.32232,                0.20859,                  1.367,                 1.7527,                 1.3281,              0.0065993,              0.0065993,              0.0065993
                      3,                 1.3575,                 1.9702,                 1.3298,                0.36928,                0.26051,                0.23162,                0.14009,                 1.5007,                  2.018,                  1.426,              0.0098006,              0.0098006,              0.0098006
                      4,                 1.4084,                 2.1162,                 1.3759,                0.41779,                0.29353,                0.27845,                0.17676,                 1.4282,                 1.8748,                 1.3896,               0.009703,               0.009703,               0.009703
                      5,                 1.3706,                 2.0152,                 1.3512,                 0.4653,                0.30826,                0.30432,                0.19516,                 1.3833,                 1.7739,                 1.3597,               0.009604,               0.009604,               0.009604
                      6,                 1.3452,                 1.9548,                 1.3343,                0.46344,                0.32856,                0.32806,                0.21254,                   1.35,                 1.7051,                 1.3359,               0.009505,               0.009505,               0.009505
                      7,                 1.3216,                 1.9003,                 1.3194,                0.49778,                0.34246,                0.34738,                0.22714,                 1.3247,                 1.6635,                   1.32,               0.009406,               0.009406,               0.009406
                      8,                 1.3098,                 1.8498,                 1.3089,                0.50613,                0.35037,                0.36012,                0.23701,                 1.3026,                 1.6049,                 1.3069,               0.009307,               0.009307,               0.009307
                      9,                 1.2987,                 1.8239,                 1.3004,                0.51162,                0.36529,                0.37838,                0.25245,                 1.2901,                 1.5599,                 1.2915,               0.009208,               0.009208,               0.009208
                     10,                 1.2892,                 1.7998,                  1.294,                 0.5435,                0.36785,                0.39103,                0.26104,                 1.2743,                 1.5265,                 1.2827,               0.009109,               0.009109,               0.009109
                     11,                 1.2807,                 1.7771,                 1.2891,                0.52393,                0.38323,                 0.3979,                0.26792,                 1.2661,                 1.5039,                 1.2746,                0.00901,                0.00901,                0.00901
                     12,                 1.2718,                 1.7595,                 1.2843,                0.54182,                0.38369,                0.40367,                0.27338,                 1.2515,                 1.4781,                  1.265,               0.008911,               0.008911,               0.008911
                     13,                 1.2689,                 1.7373,                 1.2807,                0.53121,                0.39426,                0.41237,                0.27807,                 1.2436,                 1.4633,                 1.2577,               0.008812,               0.008812,               0.008812
                     14,                 1.2597,                 1.7244,                 1.2756,                0.53668,                0.39493,                 0.4177,                0.28394,                 1.2354,                 1.4475,                 1.2534,               0.008713,               0.008713,               0.008713
                     15,                 1.2554,                 1.7139,                 1.2728,                0.56865,                 0.3992,                 0.4255,                 0.2893,                 1.2282,                 1.4305,                 1.2474,               0.008614,               0.008614,               0.008614
                     16,                 1.2527,                 1.7024,                 1.2711,                0.56103,                 0.4009,                0.42807,                0.29168,                 1.2251,                 1.4175,                 1.2441,               0.008515,               0.008515,               0.008515
                     17,                 1.2485,                 1.6923,                 1.2673,                0.56517,                0.40863,                 0.4338,                0.29644,                 1.2181,                 1.4062,                 1.2408,               0.008416,               0.008416,               0.008416
                     18,                 1.2437,                 1.6784,                 1.2613,                0.55355,                0.41743,                0.43741,                0.29997,                 1.2154,                 1.4003,                 1.2388,               0.008317,               0.008317,               0.008317
                     19,                 1.2435,                 1.6739,                 1.2615,                0.57414,                0.40935,                0.43975,                0.30225,                 1.2111,                 1.3932,                 1.2353,               0.008218,               0.008218,               0.008218
                     20,                 1.2407,                  1.659,                 1.2593,                0.56772,                0.41382,                0.44225,                0.30429,                  1.207,                 1.3826,                 1.2314,               0.008119,               0.008119,               0.008119
                     21,                 1.2375,                 1.6576,                 1.2572,                0.56623,                0.41629,                0.44438,                 0.3062,                 1.2037,                 1.3748,                 1.2286,                0.00802,                0.00802,                0.00802
                     22,                 1.2327,                 1.6481,                 1.2544,                0.55261,                0.42258,                0.44636,                0.30794,                 1.2008,                 1.3689,                 1.2263,               0.007921,               0.007921,               0.007921
                     23,                 1.2266,                 1.6357,                 1.2504,                0.55391,                0.42073,                0.44709,                 0.3086,                 1.1984,                 1.3632,                 1.2249,               0.007822,               0.007822,               0.007822
                     24,                 1.2284,                 1.6336,                 1.2517,                0.56103,                0.42027,                0.44909,                0.31006,                 1.1962,                 1.3592,                 1.2238,               0.007723,               0.007723,               0.007723
                     25,                 1.2268,                  1.625,                 1.2498,                0.58074,                0.41333,                0.45056,                0.31166,                 1.1952,                 1.3561,                 1.2228,               0.007624,               0.007624,               0.007624
                     26,                 1.2248,                 1.6211,                 1.2484,                0.58291,                0.41453,                0.45125,                0.31251,                 1.1933,                 1.3535,                 1.2215,               0.007525,               0.007525,               0.007525
                     27,                  1.222,                 1.6181,                  1.248,                 0.5859,                0.41418,                0.45223,                0.31339,                 1.1922,                 1.3507,                 1.2206,               0.007426,               0.007426,               0.007426
                     28,                 1.2173,                 1.6086,                 1.2441,                0.57732,                0.41984,                0.45295,                 0.3144,                 1.1911,                  1.348,                 1.2199,               0.007327,               0.007327,               0.007327
                     29,                 1.2162,                 1.6041,                 1.2424,                0.57522,                0.42166,                0.45405,                0.31515,                   1.19,                 1.3457,                  1.219,               0.007228,               0.007228,               0.007228
                     30,                 1.2142,                 1.6002,                 1.2424,                0.57379,                0.42278,                0.45499,                0.31577,                 1.1891,                 1.3442,                 1.2184,               0.007129,               0.007129,               0.007129
                     31,                 1.2109,                 1.5925,                 1.2397,                0.56019,                0.43009,                0.45559,                0.31616,                 1.1886,                 1.3427,                  1.218,                0.00703,                0.00703,                0.00703
