Contrast_Severity_1
Image Name,PDQ,Variance
000000000885.jpg,72.58,0.0113
000000001000.jpg,84.56,0.0433
000000002153.jpg,81.14,0.0152
000000005037.jpg,72.43,0.0267
000000004765.jpg,76.27,0.032
000000002261.jpg,78.19,0.0168
000000002685.jpg,79.9,0.018
000000004395.jpg,76.13,0.0468
000000005001.jpg,76.76,0.0424
000000001993.jpg,81.59,0.0417
000000001675.jpg,83.27,0.0162
000000003501.jpg,77.92,0.0117
000000000139.jpg,80.0,0.0338
000000002157.jpg,81.31,0.0113
000000004795.jpg,72.08,0.0442
000000001818.jpg,72.77,0.0236
000000004495.jpg,77.44,0.0244
000000001761.jpg,76.81,0.0323
000000001425.jpg,74.85,0.0464
000000002431.jpg,73.49,0.0333
000000000872.jpg,72.12,0.0263
000000000724.jpg,74.86,0.0368
000000002473.jpg,83.88,0.0479
000000000285.jpg,81.8,0.0474
000000002923.jpg,77.47,0.0396
000000002299.jpg,79.54,0.0492
000000002006.jpg,72.66,0.0418
000000001490.jpg,80.14,0.0268
000000001353.jpg,83.56,0.0377
000000003845.jpg,79.68,0.0404
000000002592.jpg,72.46,0.0237
000000003553.jpg,73.79,0.0483

Contrast_Severity_2
000000003661.jpg,75.11,0.0639
000000001532.jpg,79.36,0.0703
000000004134.jpg,73.58,0.0691
000000002473.jpg,81.26,0.0737
000000000872.jpg,70.49,0.0788
000000003501.jpg,79.04,0.0502
000000003255.jpg,73.17,0.0536
000000002157.jpg,77.78,0.0615
000000000776.jpg,69.91,0.061
000000002431.jpg,76.76,0.0729
000000002006.jpg,68.66,0.055
000000001993.jpg,80.88,0.0613
000000001000.jpg,70.91,0.0553
000000001675.jpg,69.25,0.065
000000005060.jpg,71.01,0.0632
000000001503.jpg,78.75,0.0722
000000000632.jpg,81.99,0.0555
000000002587.jpg,77.78,0.0628
000000000785.jpg,79.94,0.0748
000000000802.jpg,73.18,0.0517
000000003156.jpg,79.61,0.0593
000000002299.jpg,81.39,0.0742
000000001761.jpg,68.08,0.0638
000000004395.jpg,69.24,0.0525
000000005001.jpg,78.39,0.0732
000000002592.jpg,78.39,0.0558
000000001296.jpg,76.31,0.0633
000000002153.jpg,81.52,0.058
000000001268.jpg,70.53,0.0729
000000000285.jpg,70.55,0.0523
000000002149.jpg,68.06,0.0789
000000004765.jpg,70.96,0.0555

Contrast_Severity_3
000000003661.jpg,65.48,0.0942
000000001532.jpg,69.05,0.0849
000000004134.jpg,73.2,0.1113
000000002473.jpg,73.35,0.1117
000000000872.jpg,71.78,0.1015
000000003501.jpg,73.14,0.1114
000000003255.jpg,66.04,0.0977
000000002157.jpg,74.54,0.0852
000000000776.jpg,72.97,0.0911
000000002431.jpg,67.51,0.0852
000000002006.jpg,77.25,0.1119
000000001993.jpg,70.25,0.1162
000000001000.jpg,70.03,0.0991
000000001675.jpg,70.18,0.1047
000000005060.jpg,65.9,0.0894
000000001503.jpg,65.67,0.0838
000000000632.jpg,64.79,0.0933
000000002587.jpg,74.33,0.1161
000000000785.jpg,67.62,0.103
000000000802.jpg,72.77,0.1012
000000003156.jpg,64.03,0.1107
000000002299.jpg,68.98,0.0859
000000001761.jpg,68.88,0.0986
000000004395.jpg,65.1,0.1047
000000005001.jpg,73.19,0.0964
000000002592.jpg,68.47,0.0812
000000001296.jpg,72.2,0.1082
000000002153.jpg,64.02,0.0869
000000001268.jpg,76.0,0.1097
000000000285.jpg,68.2,0.0819
000000002149.jpg,72.17,0.0939
000000004765.jpg,69.17,0.1019

Contrast_Severity_4
000000000885.jpg,67.15,0.1398
000000001000.jpg,67.09,0.132
000000002153.jpg,71.45,0.1348
000000005037.jpg,71.63,0.1321
000000004765.jpg,68.16,0.1366
000000002261.jpg,70.08,0.1201
000000002685.jpg,68.79,0.129
000000004395.jpg,71.37,0.123
000000005001.jpg,70.41,0.1231
000000001993.jpg,70.6,0.1457
000000001675.jpg,70.46,0.1347
000000003501.jpg,72.83,0.131
000000000139.jpg,66.55,0.1465
000000002157.jpg,68.99,0.1486
000000004795.jpg,68.54,0.1259
000000001818.jpg,72.13,0.1354
000000004495.jpg,71.84,0.1324
000000001761.jpg,67.83,0.1273
000000001425.jpg,73.32,0.1453
000000002431.jpg,67.96,0.133
000000000872.jpg,70.73,0.124
000000000724.jpg,72.03,0.1254
000000002473.jpg,72.15,0.1289
000000000285.jpg,71.38,0.1328
000000002923.jpg,72.36,0.146
000000002299.jpg,71.29,0.1298
000000002006.jpg,70.6,0.1401
000000001490.jpg,70.65,0.1302
000000001353.jpg,68.62,0.1431
000000003845.jpg,67.55,0.1366
000000002592.jpg,70.25,0.1472
000000001296.jpg,76.31,0.0633

Contrast_Severity_5
000000003661.jpg,62.95,0.1944
000000001532.jpg,64.44,0.12
000000004134.jpg,68.64,0.1653
000000002473.jpg,62.3,0.1189
000000000872.jpg,67.17,0.119
000000003501.jpg,68.56,0.1224
000000003255.jpg,65.81,0.1282
000000002157.jpg,62.24,0.1756
000000000776.jpg,66.16,0.1994
000000002431.jpg,69.83,0.1008
000000002006.jpg,66.12,0.1253
000000001993.jpg,65.99,0.1113
000000001000.jpg,66.1,0.1528
000000001675.jpg,65.16,0.1561
000000005060.jpg,63.82,0.1484
000000001503.jpg,63.71,0.1622
000000000632.jpg,67.54,0.1855
000000002587.jpg,69.98,0.1631
000000000785.jpg,66.04,0.121
000000000802.jpg,64.64,0.1218
000000003156.jpg,67.04,0.1303
000000002299.jpg,64.18,0.1425
000000001761.jpg,68.23,0.1067
000000004395.jpg,65.16,0.1773
000000005001.jpg,63.6,0.1512
000000002592.jpg,68.21,0.1811
000000001296.jpg,66.2,0.1791
000000002153.jpg,65.39,0.1138
000000001268.jpg,65.19,0.1222
000000000285.jpg,68.75,0.1198
000000002149.jpg,66.68,0.1811
000000004765.jpg,69.51,0.1952

Frost_Severity_1
000000003661.jpg,77.6035033144526,0.07364395215999067
000000001532.jpg,78.73702208259208,0.06999315227755712
000000004134.jpg,77.02726858986301,0.08799070011277331
000000002473.jpg,81.81585385531324,0.07839865222879136
000000000872.jpg,81.713304388329,0.06860681018084791
000000003501.jpg,76.99622093147282,0.08240653742445173
000000003255.jpg,77.0532407676513,0.0790193458236423
000000002157.jpg,75.69318300126905,0.07053623459139206
000000000776.jpg,77.23780026232622,0.08208407852525065
000000002431.jpg,81.5801243002546,0.08484498708838768
000000002006.jpg,78.56834412960995,0.07569604472182358
000000001993.jpg,78.3019593193472,0.07654644553524097
000000001000.jpg,78.39545485657516,0.07050703178651029
000000001675.jpg,77.65039127946896,0.08210102231311131
000000005060.jpg,78.81090850709559,0.08631462932805872
000000001503.jpg,81.41054465766555,0.08169093085455952
000000000632.jpg,80.22692274586284,0.0790774800418347
000000002587.jpg,81.53508957937704,0.06877479504116045
000000000785.jpg,77.72500359834372,0.0821747797523172
